stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
761000397,,Elefantapoteket,,59.4368660,10.6681360,,,0,
761000399,,Peterson,,59.4400180,10.6694900,,,0,
761000566,,Sarpsborg Quality Hotel,,59.2962910,11.0676400,,,0,
761001666,,Herføl brygge,,59.0019990,11.0568330,,,0,
761001717,,Gravningsund brygge,,59.0242740,11.1000670,,,0,
761002517,,Fylkestøtta,,59.6380160,10.9334470,,,0,
761005286,,Lysaker E18 nordsiden,,59.9130210,10.6374930,,,0,
761005287,,Lysaker E18 sydsiden,,59.9127620,10.6383210,,,0,
761005645,,Holmen i Fjekan,,59.8564380,10.4918050,,,0,
761005646,,Holmen i Slemmestadvn.,,59.8539120,10.4912630,,,0,
761005865,,Asker Hagaløkka,,59.8334470,10.4245020,,,0,
761008829,,Oslo Lufthavn jb.st,,60.1928370,11.0966820,,,0,
761008845,,Oslo Lufthavn avgang,,60.1934590,11.0968540,,,0,
761008847,,Oslo Lufthavn ankomst,,60.1928710,11.1010380,,,0,
761012327,,Oslo Bussterminal,,59.9116770,10.7588530,,,0,
761012365,,Oslo Hjortneskaien,,59.9097130,10.7088330,,,0,
761012841,,Grefsen stasjon vognhall,,59.9424710,10.7822620,,,0,
761013720,,Skogen T-banestasjon,,59.9754870,10.6474300,,,0,
761014495,,Austmarka skole,,60.1017340,12.3243540,,,0,
761014497,,Kjærsagbrua,,60.1034620,12.3163750,,,0,
761014499,,Austmarka samfunnshus,,60.0954130,12.3037420,,,0,
761014500,,Austbo,,60.1035270,12.3203050,,,0,
761014501,,Grorud Austmarka,,60.0602910,12.2846970,,,0,
761014502,,Austmarka S-lag,,60.1036610,12.3250170,,,0,
761014503,,Gylterud,,60.0604670,12.3447360,,,0,
761014504,,Karterud,,60.0636860,12.3672110,,,0,
761014505,,Strand,,60.0728110,12.3502310,,,0,
761014506,,Åserud,,60.0795670,12.3410790,,,0,
761014507,,Åsheim,,60.0839390,12.3344700,,,0,
761014508,,Jensmoen,,60.0937160,12.3277570,,,0,
761014509,,Solberg bru,,60.1203920,12.3172680,,,0,
761014510,,Jonsrud,,60.1265220,12.3146620,,,0,
761014511,,Holmenlia,,60.1007270,12.3112040,,,0,
761014512,,Brødbøl,,60.0462880,12.3715650,,,0,
761014513,,Utgård,,60.0358730,12.3707900,,,0,
761014514,,Mobekk Brødbøl,,60.0550730,12.3709710,,,0,
761014515,,Fosseidvegen,,60.3424570,12.0155540,,,0,
761014516,,Foss Landhandel,,60.3338890,12.0078390,,,0,
761014517,,Gruvåsvegen,,60.3542210,12.0159160,,,0,
761014518,,Ramsøya,,60.3603290,12.0202710,,,0,
761014520,,Masterudkrysset,,60.1468810,12.3141540,,,0,
761014521,,Masterud,,60.1489220,12.2985880,,,0,
761014522,,Brakalsvålet,,60.1663700,12.1493270,,,0,
761014523,,Tekstebakken,,60.1633640,12.1900420,,,0,
761014524,,Knauserud,,60.1578940,12.2281470,,,0,
761014525,,Bratberget,,60.1595080,12.2485340,,,0,
761014526,,Tomteberget,,60.1541100,12.2684620,,,0,
761014527,,Ramtjernåsen,,60.1523090,12.2834420,,,0,
761014528,,Roverud skole,,60.2586940,12.0616000,,,0,
761014530,,Erling Maulands veg 53,,60.2440150,12.0533060,,,0,
761014531,,Erling Maulands veg 25,,60.2504770,12.0508890,,,0,
761014532,,Vepsveien 12,,60.2442860,12.0516680,,,0,
761014533,,Vepsveien 24,,60.2444880,12.0498800,,,0,
761014534,,Vepsveien 74,,60.2429310,12.0515790,,,0,
761014535,,Roverud skole Fv 205,,60.2555050,12.0674670,,,0,
761014536,,Roverud kapell,,60.2531360,12.0572290,,,0,
761014537,,Roverud,,60.2548370,12.0524160,,,0,
761014538,,Årbogen,,60.2730060,12.0899660,,,0,
761014539,,Brudal,,60.2689440,12.0827630,,,0,
761014540,,Lystadtjernsvegen,,60.2474980,12.1014430,,,0,
